E,Z
29.41176470588232, 11.227407163982917
44.117647058823536, 12.064574433125202
66.1764705882353, 13.236526454157087
95.58823529411762, 14.072872165626038
124.99999999999994, 15.076815642458115
147.05882352941177, 16.081169898126845
183.8235294117647, 17.084702596122256
213.23529411764713, 18.25624383831746
242.64705882352945, 19.09258954978641
286.76470588235287, 20.09571146894511
316.1764705882353, 20.094068353598416
338.23529411764713, 21.266020374630315
352.94117647058823, 21.265198816956953
389.70588235294116, 22.101133749589223
419.1176470588235, 22.099490634242528
448.5294117647059, 22.097847518895833
426.4705882352941, 22.937068682221494
477.94117647058835, 23.10179099572791
492.64705882352945, 23.100969438054562
518.3823529411773, 24.02131942162339
522.0588235294119, 24.272510680249752
477.94117647058835, 24.10737758790667
566.1764705882354, 24.27004600722971
536.7647058823529, 25.277275714755177
584.5588235294117, 25.19080676963523
636.0294117647059, 25.02033355241538
599.2647058823529, 25.944175156095966
647.0588235294117, 26.10910285902071
702.205882352941, 26.10602201774566
654.4117647058824, 27.198077555044378
709.5588235294117, 27.194996713769314
709.5588235294117, 28.200583305948072
772.0588235294117, 27.023907328294456
779.4117647058822, 28.11288202431811
775.7352941176471, 29.286271771278336
834.5588235294117, 30.037175484719043
838.2352941176471, 28.947584620440352
845.5882352941178, 28.02538613210649
911.7647058823532, 28.943476832073614
937.5, 29.025837988826808
908.088235294118, 29.949268813670727
893.3823529411764, 31.123274728885974
970.5882352941178, 30.95136378573777
992.6470588235295, 30.95013144922774
1011.0294117647061, 29.94351790995728
981.6176470588236, 29.945161025303975
992.6470588235293, 32.039516924088076
1025.735294117647, 33.04325501150181
1044.1176470588234, 32.120440354912915
1066.1764705882354, 32.1192080184029
1058.8235294117649, 31.114032205060795
1088.235294117647, 31.1123890897141
1143.3823529411766, 31.94729707525468
1176.4705882352941, 32.113046335852786
1121.3235294117649, 33.037914886625046
1154.4117647058822, 33.119865264541566
1099.264705882353, 34.04473381531384
1158.0882352941178, 35.047034176799215
1194.8529411764703, 34.2069914558002
1235.2941176470588, 34.12093328951692
1220.588235294118, 33.11616825501151
1264.7058823529412, 33.11370358199146
1227.9411764705883, 36.048718370029576
1279.4117647058824, 35.12405520867566
1316.1764705882354, 35.12200131449229
1316.1764705882354, 34.03261583963196
1345.5882352941176, 34.030972724285256
1301.4705882352944, 37.05019717384161
1345.5882352941176, 36.04214590864279
1389.7058823529412, 35.03409464344397
1441.1764705882354, 35.115018074268825
1389.7058823529412, 36.12348011830431
1352.9411764705883, 37.13112060466645
1378.6764705882356, 37.967671705553734
1426.4705882352944, 36.95941505093658
1477.9411764705883, 36.118550772264214
1529.4117647058824, 36.1156753204075
1481.6176470588236, 37.12393197502465
1452.2058823529412, 38.96915050936576
1503.6764705882351, 38.044487348011835
1555.1470588235297, 37.036025303976345
1613.9705882352941, 37.11653795596451
1566.1764705882354, 38.12479461058166
1540.4411764705883, 39.96980775550444
1595.5882352941176, 39.044939204732174
1647.0588235294117, 37.95267827801512
1654.4117647058824, 38.95785409135721
1610.294117647059, 41.2228885967795
1632.3529411764705, 41.22165626026948
1676.4705882352941, 40.04600722970752
1705.882352941177, 38.11698981268485
1742.6470588235293, 39.03672362799869
1750.0000000000005, 40.04189944134078
1757.3529411764707, 41.04707525468287
1702.2058823529414, 41.97194380545515
1816.1764705882356, 39.032615839631944
1841.9117647058824, 39.95296582320079
1852.9411764705883, 41.125534012487684
1860.294117647059, 42.13070982582978
1926.4705882352941, 40.11583963194216
1937.5, 41.120810055865924
1959.5588235294117, 42.04136542885311
1863.9705882352941, 43.974079855405854
1897.0588235294117, 44.05603023332238
1963.2352941176473, 44.97412093328953
1985.294117647059, 44.9728885967795
2036.7647058823532, 42.03705225106803
2036.7647058823532, 41.115264541570824
2147.0588235294117, 42.03089056851792
2044.1176470588234, 43.964015773907335
2080.8823529411766, 43.96196187972396
2051.470588235294, 45.9747781794282
2088.235294117647, 45.97272428524482
2172.794117647059, 43.95682714426553
2158.088235294118, 45.13083305948078
2246.323529411765, 43.952719355898786
2139.705882352941, 46.97543542556688
2180.1470588235293, 47.05697502464673
2286.764705882353, 44.95604666447585
2250.0000000000005, 45.96368715083799
2360.294117647059, 45.11953664147224
2382.3529411764707, 43.94511994742031
2235.294117647059, 48.14327965823201
2279.4117647058824, 48.14081498521196
2338.2352941176473, 47.048143279658234
2382.3529411764707, 46.96187972395663
2404.4117647058824, 45.955060795267826
2470.5882352941176, 46.118961551100895
2500.0000000000005, 45.02793296089386
2330.8823529411766, 48.97592836017089
2375.0000000000005, 48.88966480446928
2441.1764705882356, 47.964180085441996
2474.264705882353, 47.96233158067696
2514.7058823529414, 47.03828458757805
2422.794117647059, 49.97638021689123
2470.5882352941176, 49.88991127177129
2522.0588235294117, 50.976421294774894
2573.5294117647063, 50.97354584291818
2547.794117647059, 48.963810384488994
2591.9117647058824, 48.961345711468944
2577.2058823529414, 46.86719520210319
2628.676470588235, 45.94253204074926
2691.1764705882356, 48.03401248767664
2654.4117647058824, 49.963440683535985
2691.1764705882356, 49.961386789352616
2750.0000000000005, 46.94134078212291
2757.3529411764707, 50.879477489319754
2801.4705882352946, 50.96081169898127
2801.4705882352946, 48.86583963194216
2882.3529411764703, 47.93953335524154
2897.0588235294117, 51.96105816628327
2911.764705882353, 49.94906342425238
3007.3529411764707, 48.938136707196854
3033.0882352941176, 50.86407328294447
3147.0588235294117, 51.86329280315478
