E,Z
25.735294117647072, 20.110294117647058
25.735294117647072, 21.11588070982583
22.05882352941171, 22.121672691422944
29.41176470588232, 23.12684850476505
33.088235294117624, 24.132229707525468
40.44117647058829, 25.137405520867574
44.117647058823536, 26.142786723628006
55.14705882352939, 27.06395826487021
58.82352941176464, 28.236937232993768
66.1764705882353, 29.07451528097272
58.82352941176464, 30.164311534669736
55.14705882352939, 31.17010351626685
47.79411764705873, 32.17610088728229
88.23529411764707, 32.173841603680586
44.117647058823536, 33.09809398619784
91.91176470588232, 33.095423923759455
99.26470588235293, 34.10059973710155
40.441176470588175, 34.103885967794945
51.47058823529409, 35.1088563917187
99.26470588235293, 35.18998521196189
62.49999999999994, 37.035614525139664
99.26470588235293, 37.033560630956295
58.82352941176464, 38.04140650673678
80.8823529411764, 38.20777193558988
117.64705882352939, 38.03812027604338
88.23529411764707, 39.04534998356885
121.32352941176464, 39.04350147880382
154.41176470588238, 39.04165297403878
91.91176470588232, 40.218328951692406
132.35294117647067, 40.13227078540914
172.79411764705884, 40.13001150180743
198.5294117647059, 41.05036148537627
161.76470588235287, 41.05241537955965
132.35294117647055, 41.05405849490634
99.26470588235293, 41.13970588235294
117.64705882352939, 42.06046664475846
158.08823529411762, 42.142006243838324
191.1764705882353, 42.056358856391725
227.94117647058823, 42.05430496220835
150.73529411764713, 44.06979132435097
40.44117647058829, 44.07595300690109
44.117647058823536, 45.08133420966152
44.117647058823536, 46.08692080184029
198.5294117647059, 44.06712126191259
242.64705882352945, 44.06465658889255
272.05882352941177, 44.06301347354585
305.14705882352945, 45.06675156095959
261.0294117647059, 45.06921623397963
216.91176470588238, 45.071680906999674
169.1176470588236, 45.24194873480119
187.49999999999994, 46.162709497206706
238.9705882352941, 46.24363292803156
283.0882352941176, 46.15736937232994
327.20588235294116, 46.15490469930989
349.264705882353, 47.075460072297076
297.79411764705884, 47.16213440683537
253.6764705882353, 47.164599079855414
44.117647058823536, 48.014295103516275
58.82352941176464, 49.10285902070326
62.5, 49.94064245810056
69.85294117647061, 51.11341603680578
66.1764705882353, 52.119208018402894
275.73529411764713, 48.08515445284259
323.5294117647059, 48.082484390404204
374.99999999999994, 48.07960893854749
408.0882352941176, 49.08334702596123
341.9117647058824, 49.00324515280973
297.79411764705884, 49.08950870851134
312.49999999999994, 50.17807262569832
367.64705882352945, 50.09119290174171
430.14705882352956, 50.087701281629975
448.529411764706, 51.0084620440355
389.7058823529413, 51.09554715741046
338.23529411764713, 51.098422609267175
503.6764705882353, 51.089180085441996
525.7352941176473, 51.92593657574763
477.9411764705881, 52.180003286230686
411.764705882353, 52.01610253039763
352.94117647058823, 52.1031876437726
