E,Z
51.47058823529409, 3.1814820900427208
110.29411764705884, 4.183782451528103
176.4705882352941, 5.185672034176804
272.05882352941177, 6.185918501478795
389.70588235294116, 7.184932632270787
477.94117647058835, 8.18558987840946
507.35294117647055, 8.183946763062764
610.2941176470588, 9.183782451528103
639.7058823529412, 9.182139336181407
654.4117647058824, 9.18131777850806
750, 10.013966480446939
786.7647058823529, 10.179510351626703
808.8235294117649, 10.010680249753534
919.1176470588234, 11.010105159382192
955.8823529411764, 11.175649030561956
985.2941176470588, 11.174005915215247
1102.9411764705883, 12.005422280644098
1132.3529411764705, 12.003779165297402
1183.8235294117649, 12.168501478803819
1301.4705882352944, 12.99991784423267
1345.5882352941176, 12.997453171212626
1389.7058823529412, 12.994988498192583
1514.7058823529412, 13.993591850147894
1558.8235294117646, 13.99112717712785
1617.6470588235295, 13.987840946434446
1794.1176470588234, 14.983568846533046
1860.294117647059, 14.979871837002975
2036.7647058823532, 15.975599737101547
2110.294117647059, 15.971491948734808
2308.823529411765, 16.965987512323366
2382.3529411764707, 16.961879723956628
2882.352941176471, 18.94511994742031
2970.5882352941176, 18.940190601380223
