compound,conductivities,nonlog,,
Steam  (saturated),0.0184,0.0184,,
Steam  (low pressure),0.0188,0.0188,,
Stainless Steel,16,16,,
Soot,0.07,0.07,,
Soil  (with organic matter),1.075,1.075,,
Soil  (saturated),2.3,2.3,,
Soil  (clay),1.1,1.1,,
Softwoods  (fir or pine),0.12,0.12,,
Sodium  (solid),135,135,,
Sodium  (liquid),86,86,,
Snow,0.15,0.15,,
Slate,2.01,2.01,,
Slag wool,0.042,0.042,,
Silver,429,429,,
Silicon oil,0.1,0.1,,
Silicon cast resin,0.235,0.235,,
Silicon carbide,15.2,15.2,,
Silica aerogel,0.02,0.02,,
Sheep wool,0.039,0.039,,
Selenium,0.2,0.2,,
Sawdust,0.08,0.08,,
Sandstone,1.7,1.7,,
Sand  (saturated),3,3,,
Sand  (moist),1.125,1.125,,
Sand  (dry),0.2,0.2,,
Salmon  (73\% moisture content),0.5,0.5,,
Rubidium,58,58,,
Rubber  (natural),0.13,0.13,,
Rubber  (cellular),0.045,0.045,,
Rosin,0.32,0.32,,
Rock  (solid),4.5,4.5,,
Rock  (porous volcanic),1.5,1.5,,
Rock Wool insulation,0.045,0.045,,
Rhodium,88,88,,
Rhenium,71,71,,
Red metal,128,128,,
Radon  (gas),0.0033,0.0033,,
Quartz mineral,3,3,,
Pyrex glass,1.005,1.005,,
Propane  (gas),0.015,0.015,,
Potato  (raw flesh),0.55,0.55,,
Potassium,1,1,,
Porcelain,1.5,1.5,,
Polyvinylchloride  (PVC),0.19,0.19,,
Polyurethane foam,0.03,0.03,,
Polytetrafluoroethylene  (PTFE),0.25,0.25,,
Polystyrol,0.043,0.043,,
Polystyrene  (expanded styrofoam),0.03,0.03,,
Polypropylene  (PP),0.16,0.16,,
Polymethylmethacrylate,0.21,0.21,,
Polyisoprene natural rubber,0.13,0.13,,
Polyisoprene hard rubber,0.16,0.16,,
Polyethylene low density  (PEL),0.33,0.33,,
Polyethylene high density  (PEH),0.465,0.465,,
Polyester,0.05,0.05,,
Polycarbonate,0.19,0.19,,
Plywood,0.13,0.13,,
Plutonium,6.7,6.7,,
Platinum,70,70,,
Plastics  (foamed),0.03,0.03,,
Plasticine,0.725,0.725,,
Plaster  (wood lath),0.28,0.28,,
Plaster  (sand),0.71,0.71,,
Plaster  (metal lath),0.47,0.47,,
Plaster light,0.2,0.2,,
Pitch,0.13,0.13,,
Pit coal,0.24,0.24,,
Pinchbeck,159,159,,
Phosphorbronze,110,110,,
Phenolic cast resins,0.15,0.15,,
Phenol-formaldehyde moulding compounds,0.19,0.19,,
Perlite  (vacuum),0.00137,0.00137,,
Perlite  (atmospheric pressure),0.031,0.031,,
Peat,0.08,0.08,,
Paraffin Wax,0.25,0.25,,
Paper,0.05,0.05,,
Palladium,70.9,70.9,,
Oxygen  (gas),0.024,0.024,,
Olive oil,0.17,0.17,,
Oil  (machine lubricating SAE 50),0.15,0.15,,
Nylon 6  (Nylon 6/6),0.25,0.25,,
Nitrous oxide  (gas),0.0151,0.0151,,
Nitrogen  (gas),0.024,0.024,,
Nitric oxide  (gas),0.0238,0.0238,,
Nickel,91,91,,
Neoprene,0.05,0.05,,
Neon  (gas),0.046,0.046,,
Monel,26,26,,
Molybdenum,138,138,,
Mineral wool insulation materials  (wool blankets ..),0.04,0.04,,
Milk,0.53,0.53,,
Mica,0.71,0.71,,
Methanol,0.21,0.21,,
Methane  (gas),0.03,0.03,,
Mercury  (liquid),8.3,8.3,,
Marble,2.51,2.51,,
Magnesium alloy,107.5,107.5,,
Magnesium,156,156,,
Magnesite,4.15,4.15,,
Magnesia insulation  (0.85),0.07,0.07,,
Lithium,301,301,,
Limestone,1.29,1.29,,
Leather  (dry),0.14,0.14,,
Lead Pb,35,35,,
Krypton  (gas),0.0088,0.0088,,
Kerosene,0.15,0.15,,
Kapok insulation,0.034,0.034,,
Iron-oxide,0.58,0.58,,
Iron  (wrought),59,59,,
Iron  (cast),55,55,,
Iron,80,80,,
Iridium,147,147,,
Iodine,0.44,0.44,,
