Element,MP,Oxide MP
Ti,1668,1843
Zn,419.5,1975
Ce,795,2400
Fe,1538,1565
Cu,1085,1326
Ni,1455,600
Co,1495,895
Si,1414,1710
Mg,650,2852
Ca,842,2564
Al,660,2072
Cr,1907,2266
Mn,1246,535
Fe,1538,1594
Co,1495,915
Ni,1455,1984
Y,1526,2410
Ce,798,2600
Zr,1855,2700
