Dt	Dm	Lo	nv	Ln	sn	Fn	c	Cat.no	Fn	c	Cat.no
0.5	2.5	4.4	3.5	3.5	0.9	10.4	11.6	5804	9.7	10	5829
0.5	2.5	6.1	5.5	4.7	1.4	10.4	7.42	5805	9.7	6.9	5830
0.5	2.5	8.7	8.5	6.5	2.2	10.4	4.80	5806	9.7	4.46	5831
0.5	2.5	12	12.5	9	3	10.4	3.27	5807	9.7	3.04	5832
0.5	2.5	17.5	18.5	12.8	4.7	10.4	2.21	5808	9.7	2.05	5833
0.5	3.2	5.5	3.5	3.7	1.8	10	5.57	5809	9.3	5.18	5834
0.5	3.2	7.9	5.5	5.1	2.8	10	3.53	5810	9.3	3.28	5835
0.5	3.2	11.5	8.5	7.1	4.4	10	2.28	5811	9.3	2.12	5836
0.5	3.2	16	12.5	9.8	6.2	10	1.56	5812	9.3	1.45	5837
0.5	3.2	23.5	18.5	14	9.5	10	1.05	5813	9.3	0.97	5838
0.5	4	7	3.5	3.7	3.3	9.32	2.83	5814	8.7	2.63	5839
0.5	4	10	5.5	5.1	4.9	9.32	1.81	5815	8.7	1.68	5840
0.5	4	15	8.5	7.1	7.9	9.32	1.17	5816	8.7	1.09	5841
0.5	4	21.5	12.5	9.8	11.7	9.32	0.79	5817	8.7	0.74	5842
0.5	4	31.	18.5	14	17	9.32	0.54	5818	8.7	0.5	5843
0.5	5	9.4	3.5	3.9	5.5	8.04	1.46	5819	7.5	1.36	5844
0.5	5	14	5.5	5.4	8.6	8.04	0.93	5820	7.5	0.92	5846
0.5	5	20.5	8.5	7.6	12.9	8.04	0.61	5821	7.5	0.56	5847
0.5	5	30.	12.5	10.6	19.4	8.04	0.41	5822	7.5	0.38	5848
0.5	5	44.5	18.5	15.1	29.4	8.04	0.28	5823	7.5	0.26	5849
0.5	6.3	13.5	3.5	4.3	9.2	6.57	0.73	5824	6.1	0.68	5850
0.5	6.3	20.	5.5	6	14	6.57	0.46	5825	6.1	0.43	5851
0.5	6.3	30.	8.5	8.7	21.3	6.57	0.3	5826	6.1	0.28	5852
0.5	6.3	44.	12.5	12.2	31.8	6.57	0.21	5827	6.1	0.19	5853
0.5	6.3	65.	18.5	17.4	47.6	6.57	0.14	5828	6.1	0.13	5854
0.63	3.2	5.5	3.5	4	1.5	21	14	5855	19.5	13	5880
0.63	3.2	7.8	5.5	5.4	2.4	21	8.9	5856	19.5	8.3	5881
0.63	3.2	11	8.5	7.5	3.5	21	5.77	5857	19.5	5.37	5882
0.63	3.2	15.5	12.5	10.3	5.2	21	3.93	5858	19.5	3.65	5883
0.63	3.2	22.5	18.5	14.7	7.8	21	2.65	5859	19.5	2.46	5884
0.63	4	6.7	3.5	4.3	2.4	17.2	7.16	5860	16	6.66	5885
0.63	4	9.6	5.5	5.8	3.8	17.2	4.55	5861	16	4.23	5886
0.63	4	14	8.5	8.2	5.8	17.2	2.94	5862	16	2.73	5887
0.63	4	20	12.5	11.3	8.7	17.2	2.00	5863	16	1.86	5888
0.63	4	29.	18.5	16.2	12.8	17.2	1.35	5864	16	1.25	5889
0.63	5	8.5	3.5	4.3	4.2	15.5	3.69	5865	14.4	3.43	5890
0.63	5	12.5	5.5	5.8	6.7	15.5	2.35	5866	14.4	2.18	5892
0.63	5	18.5	8.5	8.2	10.3	15.5	1.52	5867	14.4	1.41	5893
0.63	5	26.	12.5	11.3	14.7	15.5	1.03	5868	14.4	0.96	5894
0.63	5	38.5	18.5	16.2	22.3	15.5	0.7	5869	14.4	0.65	5895
0.63	6.3	11.5	3.5	4.6	6.9	12.5	1.83	5870	11.6	1.7	5896
0.63	6.3	17	5.5	6.2	10.8	12.5	1.17	5871	11.6	1.09	5897
0.63	6.3	25.5	8.5	8.9	16.6	12.5	0.76	5872	11.6	0.7	5898
0.63	6.3	36.5	12.5	12.3	24.2	12.5	0.51	5873	11.6	0.47	5899
0.63	6.3	54.	18.5	17.7	36.3	12.5	0.34	5874	11.6	0.32	5900
0.63	8	16	3.5	5.1	10.9	10	0.89	5875	9.3	0.83	5901
0.63	8	24.5	5.5	7.1	17.4	10	0.57	5876	9.3	0.53	5902
0.63	8	37.	8.5	10.2	26.8	10	0.37	5877	9.3	0.35	5903
0.63	8	55.	12.5	14.3	40.7	10	0.25	5878	9.3	0.23	5904
0.63	8	80.5	18.5	20.6	59.9	10	0.17	5879	9.3	0.16	5905
0.8	4	6.9	3.5	5.2	1.7	31.9	18.5	5906	29.7	17.2	5931
0.8	4	9.7	5.5	7	2.7	31.9	11.9	5907	29.7	11.1	5932
0.8	4	14	8.5	9.8	4.2	31.9	7.67	5908	29.7	7.13	5933
0.8	4	19.5	12.5	13.5	6	31.9	5.22	5909	29.7	4.85	5934
0.8	4	28.	18.5	19.1	8.9	31.9	3.52	5910	29.7	3.27	5935
