MATERIAL,BHN,MR,MATERIAL,BHN,MR
A-55,160,0.30,C-130,255,0.18
A-70,188,0.27,C-140,285,0.15
A-110,220,0.23,MST,380,0.09
C-120,240,0.20,,,
