Element Length (in)|Power (W)|Power Density (W/in^2)|Max temp (F)|Wire Lead Length (in)|Sheath Material|Current at 120 VAC single phase (A)|Element Diameter (in)
3.5|500|129|1400|12|Incoloy|4.2|0.5
4|180|39|1000|16|Incoloy|1.5|0.5
4|300|64|1400|12|Incoloy|2.5|0.5
4|400|86|1400|12|Incoloy|3.3|0.5
4|500|107|1400|12|Incoloy|4.2|0.5
4|750|161|1400|12|Incoloy|6.3|0.5
4.5|200|37|1000|16|Incoloy|1.7|0.5
4.5|500|92|1400|12|Incoloy|4.2|0.5
4.5|650|119|1400|12|Incoloy|5.4|0.5
4.5|750|138|1400|12|Incoloy|6.3|0.5
5|200|32|1000|16|Incoloy|1.7|0.5
5|200|32|1400|12|Incoloy|1.7|0.5
5|400|64|1400|12|Incoloy|3.3|0.5
5|500|80|1400|12|Incoloy|4.2|0.5
5|750|120|1400|12|Incoloy|6.3|0.5
5.5|300|43|1000|16|Incoloy|2.5|0.5
5.5|500|71|1400|12|Incoloy|4.2|0.5
5.5|750|107|1400|12|Incoloy|6.3|0.5
6|300|38|1000|16|Incoloy|2.5|0.5
6|500|64|1400|12|Incoloy|4.2|0.5
6|750|96|1400|12|Incoloy|6.3|0.5
6|850|109|1400|12|Incoloy||0.5
6|850|133|1400|12|Incoloy|7.1|0.5
6|1000|128|1400|12|Incoloy||0.5
6|1000|157|1400|12|Incoloy|8.3|0.5
7|500|54|1400|12|Incoloy|4.2|0.5
7|600|65|1400|12|Incoloy|5|0.5
7|1000|108|1400|12|Incoloy||0.5
7|1000|127|1400|12|Incoloy|8.3|0.5
7.5|500|50|1400|12|Incoloy|4.2|0.5
7.5|1000|100|1400|12|Incoloy||0.5
7.5|1000|116|1400|12|Incoloy|8.3|0.5
8|500|46|1400|12|Incoloy|4.2|0.5
8|750|69|1400|12|Incoloy||0.5
8|750|80|1400|12|Incoloy|6.3|0.5
8|1000|93|1400|12|Incoloy||0.5
8|1000|107|1400|12|Incoloy|8.3|0.5
9.5|800|63|1400|12|Incoloy||0.5
9.5|800|68|1400|12|Incoloy|6.7|0.5
9.5|1000|78|1400|12|Incoloy||0.5
9.5|1000|85|1400|12|Incoloy|8.3|0.5
10|500|39|1400|12|Incoloy||0.5
10|500|40|1400|12|Incoloy|4.2|0.5
10|1000|78|1400|12|Incoloy||0.5
10|1000|80|1400|12|Incoloy|8.3|0.5
10|1500|118|1400|12|Incoloy||0.5
10|1500|120|1400|12|Incoloy|12.5|0.5
2|100|55|1000|16|Incoloy|0.8|0.625
2|200|111|1400|12|Incoloy|1.7|0.625
2|250|139|1400|12|Incoloy|2.1|0.625
2.5|150|54|1000|16|Incoloy|1.3|0.625
2.5|275|99|1400|12|Incoloy|2.3|0.625
2.5|400|144|1400|12|Incoloy|3.3|0.625
3|175|46|1000|16|Incoloy|1.5|0.625
3|250|66|1400|12|Incoloy|2.1|0.625
3|500|133|1400|12|Incoloy|4.2|0.625
3|750|199|1400|12|Incoloy|6.3|0.625
4|200|35|1000|16|Incoloy|1.7|0.625
4|250|44|1400|12|Incoloy|2.1|0.625
4|500|87|1400|12|Incoloy|4.2|0.625
4|750|131|1400|12|Incoloy|6.3|0.625
4.5|750|112|1400|12|Incoloy|6.3|0.625
5|500|65|1400|12|Incoloy|4.2|0.625
5|750|97|1400|12|Incoloy|6.3|0.625
5|1000|130|1400|12|Incoloy||0.625
5|1000|169|1400|12|Incoloy|8.3|0.625
6|300|31|1000|16|Incoloy|2.5|0.625
6|500|52|1400|12|Incoloy|4.2|0.625
6|750|78|1400|12|Incoloy||0.625
6|750|95|1400|12|Incoloy|6.3|0.625
6|1000|104|1400|12|Incoloy||0.625
6|1000|127|1400|12|Incoloy|8.3|0.625
6|1500|155|1400|12|Incoloy||0.625
6|1500|191|1400|12|Incoloy|12.5|0.625
8|1000|75|1400|12|Incoloy||0.625
8|1000|86|1400|12|Incoloy|8.3|0.625
8|1200|89|1400|12|Incoloy||0.625
8|1200|103|1400|12|Incoloy|10|0.625
8|1500|112|1400|12|Incoloy||0.625
8|1500|129|1400|12|Incoloy|12.5|0.625
10|800|50|1400|12|Incoloy||0.625
10|800|52|1400|12|Incoloy|6.7|0.625
10|1000|62|1400|12|Incoloy||0.625
10|1000|65|1400|12|Incoloy|8.3|0.625
10|1500|97|1400|12|Incoloy|12.5|0.625
3|500|120|1400|12|Incoloy|4.2|0.75
3|600|144|1400|12|Incoloy|5|0.75
4|500|77|1400|12|Incoloy|4.2|0.75
4|1000|153|1400|12|Incoloy|8.3|0.75
5|500|56|1400|12|Incoloy|4.2|0.75
5|1000|113|1400|12|Incoloy|8.3|0.75
6|1000|89|1400|12|Incoloy||0.75
6|1000|113|1400|12|Incoloy|8.3|0.75
6|1200|107|1400|12|Incoloy||0.75
6|1200|136|1400|12|Incoloy|10|0.75
6|2000|178|1400|12|Incoloy||0.75
6|2000|227|1400|12|Incoloy|16.7|0.75
7|1000|75|1400|12|Incoloy||0.75
7|1000|91|1400|12|Incoloy|8.3|0.75
7|1500|112|1400|12|Incoloy||0.75
7|1500|136|1400|12|Incoloy|12.5|0.75
8|1000|62|1400|12|Incoloy||0.75
8|1000|75|1400|12|Incoloy|8.3|0.75
8|2000|124|1400|12|Incoloy||0.75
8|2000|150|1400|12|Incoloy|16.7|0.75
10|1000|56|1400|12|Incoloy|8.3|0.75
10|2000|112|1400|12|Incoloy|16.7|0.75
